15	10	E	-9125446.491815351	200
emissionprobs	6	5	H3k4me1	0	0.6333163608280802
emissionprobs	6	5	H3k4me1	1	0.36668363917191976
emissionprobs	6	6	H3k4me2	0	0.9234856784169845
emissionprobs	6	6	H3k4me2	1	0.07651432158301556
emissionprobs	6	7	H3k4me3	0	0.9783774777453976
emissionprobs	6	7	H3k4me3	1	0.02162252225460233
emissionprobs	6	8	H3k9me3	0	0.9979479248788036
emissionprobs	6	8	H3k9me3	1	0.0020520751211964227
emissionprobs	6	9	H4k20me1	0	0.6071647089323816
emissionprobs	6	9	H4k20me1	1	0.39283529106761833
emissionprobs	7	0	Ctcf	0	0.9899732910016106
emissionprobs	7	0	Ctcf	1	0.010026708998389462
emissionprobs	7	1	H2afz	0	0.9991465299482388
emissionprobs	7	1	H2afz	1	8.534700517611034E-4
emissionprobs	7	2	H3k27ac	0	0.997071431148646
emissionprobs	7	2	H3k27ac	1	0.0029285688513539776
emissionprobs	7	3	H3k27me3	0	0.9955191286022098
emissionprobs	7	3	H3k27me3	1	0.004480871397790147
emissionprobs	7	4	H3k36me3	0	0.9573022791982924
emissionprobs	7	4	H3k36me3	1	0.042697720801707695
emissionprobs	7	5	H3k4me1	0	0.9806480863641522
emissionprobs	7	5	H3k4me1	1	0.019351913635847828
emissionprobs	7	6	H3k4me2	0	0.9955393956320752
emissionprobs	7	6	H3k4me2	1	0.004460604367924865
emissionprobs	7	7	H3k4me3	0	0.9983122293908065
emissionprobs	7	7	H3k4me3	1	0.0016877706091934707
emissionprobs	7	8	H3k9me3	0	0.9986220222254139
emissionprobs	7	8	H3k9me3	1	0.0013779777745860614
emissionprobs	7	9	H4k20me1	0	0.7556361437621998
emissionprobs	7	9	H4k20me1	1	0.24436385623780021
emissionprobs	8	0	Ctcf	0	0.9356557743732655
emissionprobs	8	0	Ctcf	1	0.06434422562673443
emissionprobs	8	1	H2afz	0	0.9568679340574598
emissionprobs	8	1	H2afz	1	0.04313206594254015
emissionprobs	8	2	H3k27ac	0	0.46585271975327314
emissionprobs	8	2	H3k27ac	1	0.5341472802467268
emissionprobs	8	3	H3k27me3	0	0.994399557397534
emissionprobs	8	3	H3k27me3	1	0.005600442602465971
emissionprobs	8	4	H3k36me3	0	0.7977226632937575
emissionprobs	8	4	H3k36me3	1	0.2022773367062425
emissionprobs	8	5	H3k4me1	0	0.42702657630599217
emissionprobs	8	5	H3k4me1	1	0.5729734236940078
emissionprobs	8	6	H3k4me2	0	0.08898635221415385
emissionprobs	8	6	H3k4me2	1	0.9110136477858461
emissionprobs	8	7	H3k4me3	0	0.4499764775346779
emissionprobs	8	7	H3k4me3	1	0.5500235224653222
emissionprobs	8	8	H3k9me3	0	0.9991546104582554
emissionprobs	8	8	H3k9me3	1	8.453895417446027E-4
emissionprobs	8	9	H4k20me1	0	0.4710494326869962
emissionprobs	8	9	H4k20me1	1	0.5289505673130038
emissionprobs	9	0	Ctcf	0	0.9238512672164809
emissionprobs	9	0	Ctcf	1	0.07614873278351904
emissionprobs	9	1	H2afz	0	0.5779024031589881
emissionprobs	9	1	H2afz	1	0.42209759684101195
emissionprobs	9	2	H3k27ac	0	0.02493369347835611
emissionprobs	9	2	H3k27ac	1	0.9750663065216438
emissionprobs	9	3	H3k27me3	0	0.9949201729239188
emissionprobs	9	3	H3k27me3	1	0.00507982707608119
emissionprobs	9	4	H3k36me3	0	0.9842067531555012
emissionprobs	9	4	H3k36me3	1	0.015793246844498832
emissionprobs	9	5	H3k4me1	0	0.14820110892025118
emissionprobs	9	5	H3k4me1	1	0.8517988910797488
emissionprobs	9	6	H3k4me2	0	0.11194415683255263
emissionprobs	9	6	H3k4me2	1	0.8880558431674475
emissionprobs	9	7	H3k4me3	0	0.6603907398325364
emissionprobs	9	7	H3k4me3	1	0.3396092601674635
emissionprobs	9	8	H3k9me3	0	0.9994649342414184
emissionprobs	9	8	H3k9me3	1	5.350657585816269E-4
emissionprobs	9	9	H4k20me1	0	0.9754692882427674
emissionprobs	9	9	H4k20me1	1	0.024530711757232544
emissionprobs	10	0	Ctcf	0	0.9769862968161027
emissionprobs	10	0	Ctcf	1	0.02301370318389725
emissionprobs	10	1	H2afz	0	0.9072315442387215
emissionprobs	10	1	H2afz	1	0.09276845576127837
emissionprobs	10	2	H3k27ac	0	0.21823735889167722
emissionprobs	10	2	H3k27ac	1	0.7817626411083228
emissionprobs	10	3	H3k27me3	0	0.9949825515673449
emissionprobs	10	3	H3k27me3	1	0.00501744843265507
emissionprobs	10	4	H3k36me3	0	0.9681358409593724
emissionprobs	10	4	H3k36me3	1	0.03186415904062757
emissionprobs	10	5	H3k4me1	0	0.5428813776097805
emissionprobs	10	5	H3k4me1	1	0.45711862239021944
emissionprobs	10	6	H3k4me2	0	0.9002636521391744
emissionprobs	10	6	H3k4me2	1	0.09973634786082561
emissionprobs	10	7	H3k4me3	0	0.9835513313813415
emissionprobs	10	7	H3k4me3	1	0.01644866861865847
emissionprobs	10	8	H3k9me3	0	0.9969739202662502
emissionprobs	10	8	H3k9me3	1	0.0030260797337496666
